Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-02-09,276.112,277.27,258.227,259.761,1170184.5342952
2021-02-10,258.702,265.056,254.376,259.276,681076.59904149
2021-02-11,258.316,261.107,257.841,260.246,364673.67947236
2021-02-12,258.9,259.474,250.427,253.03,381424.67782297
2021-02-15,250.14,260.335,248.507,259.761,281602.66998006
2021-02-16,260.721,262.839,256.584,259.86,339614.87295305
2021-02-17,261.78,262.166,257.93,261.008,305851.20504719
2021-02-18,261.008,272.747,258.989,264.571,518614.14193825
2021-02-19,264.571,268.323,254.664,255.337,446044.33129132
2021-02-22,256.297,258.029,248.22,248.309,485782.99342187
2021-02-23,249.18,251.199,240.618,247.923,578110.49548886
2021-02-24,248.408,252.357,246.29,248.408,354500.83252469
2021-02-25,245.33,246.29,239.658,242.063,797917.33832084
2021-02-26,240.133,240.42,225.316,227.632,1536548.4683056
2021-03-01,228.394,231.859,216.656,231.186,1132029.0334684
2021-03-02,231.77,236.58,227.048,232.146,700713.05283778
2021-03-03,232.631,235.996,218.388,219.645,869619.2896443
2021-03-04,219.645,228.493,217.428,226.088,552856.69845799
2021-03-05,224.643,228.78,220.12,223.198,476519.42865247
2021-03-08,225.989,228.493,223.198,223.198,423616.38120777
2021-03-09,222.723,224.841,214.547,214.547,1061060.5697687
2021-03-10,214.547,218.101,202.224,202.224,1313808.685292
2021-03-11,202.521,215.121,198.77,212.617,1247063.3321536
2021-03-12,214.547,226.187,211.944,217.913,880157.87009033
2021-03-15,222.238,225.702,216.952,221.179,544523.632451
2021-03-16,224.168,227.147,217.913,220.793,435135.97609279
2021-03-17,221.278,223.198,214.636,222.238,556736.30241856
2021-03-18,222.238,222.911,212.33,212.33,659374.05407349
2021-03-19,212.33,218.388,209.638,214.735,998939.4216635
2021-03-22,212.617,212.617,208.579,208.767,557569.81108197
2021-03-23,209.737,212.617,203.382,212.33,612464.18649706
2021-03-24,211.083,213.963,206.946,208.866,499694.00043572
2021-03-25,211.558,213.488,200.205,200.205,769647.75539874
2021-03-26,202.036,208.678,201.551,203.956,454341.02601117
2021-03-29,209.737,234.264,207.807,230.612,2167217.494325
2021-03-30,240.519,242.063,208.579,209.638,1718136.1605582
2021-03-31,192.227,195.979,174.619,183.28,3667999.8533055
2021-04-01,183.567,190.278,178.044,187.199,1097243.9385823
2021-04-06,191.436,193.376,186.665,189.605,763939.48394633
2021-04-07,190.703,191.297,183.755,184.487,542984.92494268
2021-04-08,184.507,184.507,175.193,176.064,1222644.0540996
2021-04-09,176.559,184.715,174.718,177.39,1103242.1700182
2021-04-12,178.657,180.964,176.43,179.429,406708.78425979
2021-04-13,180.103,183.28,178.925,179.429,376117.50084253
2021-04-14,181.35,183.082,177.212,178.717,569025.75621451
2021-04-15,178.944,181.637,178.004,180.31,337843.7933325
2021-04-16,182.795,185.2,168.364,170.056,1770596.6906762
2021-04-19,172.154,178.083,170.383,170.769,712114.44103963
2021-04-20,171.729,174.332,165.691,166.443,593845.11842689
2021-04-21,166.443,173.134,160.96,166.057,764235.50581103
2021-04-22,169.037,169.997,165.77,166.918,314172.1472918
2021-04-23,170.264,172.214,161.148,164.652,736553.9253642
2021-04-26,166.899,167.304,158.842,162.573,716943.73971972
2021-04-27,159.703,166.77,159.703,161.92,638722.23517814
2021-04-28,163.553,168.077,162.207,165.958,692535.57511463
